Subj,StimType,ConvDiv,Mfov,MonoReg,BinoReg,NumFade,TimePt,PropFade
S19,AR,conv,40,9,31,1500,1500,1
S19,AR,conv,40,9,31,313,1470,0.212925170068027
S19,AR,div,30,4.5,25.5,0,1500,0
S19,AR,div,30,4.5,25.5,878,1500,0.585333333333333
S19,AR,div,30,9,21,1500,1500,1
S19,AR,div,30,9,21,1500,1500,1
S19,AR,div,30,9,21,1500,1500,1
S19,AR,div,30,4.5,25.5,0,1500,0
S19,AR,div,30,4.5,25.5,1500,1500,1
S19,AR,div,30,9,21,1500,1500,1
S19,AR,div,30,9,21,334,1497,0.22311289245157
S19,AR,div,40,4.5,35.5,0,1500,0
S19,AR,div,40,9,31,0,1500,0
S19,AR,div,40,4.5,35.5,0,1447,0
S19,AR,div,40,4.5,35.5,0,1500,0
S19,AR,div,40,4.5,35.5,1500,1500,1
S19,AR,div,40,9,31,1500,1500,1
S19,AR,div,40,9,31,1500,1500,1
S19,AR,div,40,4.5,35.5,1500,1500,1
S19,AR,div,40,9,31,1500,1500,1
S19,AR,div,40,9,31,1500,1500,1
S20,oval,conv,30,4.5,25.5,393,1495,0.262876254180602
S20,oval,conv,30,9,21,1500,1500,1
S20,oval,conv,40,4.5,35.5,82,1497,0.0547762191048764
S20,oval,conv,40,9,31,1500,1500,1
S20,oval,div,30,9,21,1500,1500,1
S20,oval,div,30,4.5,25.5,800,1469,0.544588155207624
S20,oval,div,40,9,31,1388,1481,0.937204591492235
S20,oval,div,40,4.5,35.5,145,1486,0.0975773889636608
S20,rect,conv,30,4.5,25.5,869,1485,0.585185185185185
S20,rect,conv,30,9,21,1436,1478,0.971583220568336
S20,rect,conv,40,4.5,35.5,178,1483,0.120026972353338
S20,rect,conv,40,9,31,327,1459,0.224126113776559
S20,rect,div,30,4.5,25.5,1500,1500,1
S20,rect,div,30,9,21,1317,1484,0.887466307277628
S20,rect,div,40,9,31,701,1474,0.475576662143826
S20,rect,div,40,4.5,35.5,0,1500,0
S20,AR,conv,30,9,21,1397,1497,0.933199732798931
S20,AR,conv,30,4.5,25.5,235,1493,0.157401205626256
S20,AR,conv,30,9,21,1500,1500,1
S20,AR,conv,30,9,21,1358,1486,0.913862718707941
S20,AR,conv,30,4.5,25.5,0,1500,0
S20,AR,conv,30,4.5,25.5,0,1500,0
S20,AR,conv,30,9,21,280,1490,0.187919463087248
S20,AR,conv,30,4.5,25.5,314,1462,0.214774281805746
S20,AR,conv,30,4.5,25.5,432,1495,0.288963210702341
S20,AR,conv,30,9,21,1475,1498,0.984646194926569
S20,AR,conv,40,4.5,35.5,326,1495,0.218060200668896
S20,AR,conv,40,4.5,35.5,0,1500,0
S20,AR,conv,40,9,31,0,1500,0
S20,AR,conv,40,4.5,35.5,74,1495,0.0494983277591973
S20,AR,conv,40,9,31,364,1485,0.245117845117845
S20,AR,conv,40,4.5,35.5,0,1500,0
S20,AR,conv,40,4.5,35.5,0,1500,0
S20,AR,conv,40,9,31,223,1475,0.151186440677966
S20,AR,conv,40,9,31,0,1500,0
S20,AR,conv,40,9,31,0,1500,0
S20,AR,div,30,4.5,25.5,1189,1485,0.800673400673401
S20,AR,div,30,4.5,25.5,1418,1491,0.951039570757881
S20,AR,div,30,9,21,1500,1500,1
S20,AR,div,30,9,21,0,1500,0
S20,AR,div,30,9,21,1500,1500,1
S20,AR,div,30,4.5,25.5,244,1495,0.163210702341137
S20,AR,div,30,4.5,25.5,83,1490,0.0557046979865772
S20,AR,div,30,4.5,25.5,66,1498,0.0440587449933244
S20,AR,div,30,9,21,1500,1500,1
S20,AR,div,30,9,21,1418,1490,0.951677852348993
S20,AR,div,40,4.5,35.5,0,1500,0
S20,AR,div,40,9,31,0,1500,0
S20,AR,div,40,4.5,35.5,298,1488,0.200268817204301
S20,AR,div,40,4.5,35.5,739,1497,0.493653974615898
S20,AR,div,40,4.5,35.5,853,1493,0.57133288680509
S20,AR,div,40,9,31,45,1500,0.03
S20,AR,div,40,9,31,91,1491,0.0610328638497653
S20,AR,div,40,4.5,35.5,0,1500,0
S20,AR,div,40,9,31,11,1500,0.00733333333333333
S20,AR,div,40,9,31,136,1493,0.0910917615539183
